,emoji_symbol,emoji_name,emoji_code,emoji_description
1051,🔌,Electric Plug,U+1F50C,"An electric plug, as inserted into socket to power a device. Depicted as a black, two-pronged plug at various angles at the end of a cable. Prongs are silver or gold.Commonly used for various literal and figurative content concerning electricity and power. May also be used for various slang senses ofplug, e.g., a connection or hookup.Apple and WhatsApp’s designs suggest a plug used in North America and Japan while other platforms, including Google and Samsung, suggest one used in Europe and many other parts of the world."
1052,💻,Laptop,U+1F4BB,"A laptop personal computer. Depicted as a black or gray device, opened to show a dark or blue screen, keyboard, and touchpad.Commonly used for various content concerning computer technology, work, and activity.Previous designs resembled adesktop computer(e.g.,iMac) on many platforms, hence its Unicode name ofPersonal Computer. Apple’s design now resembles a MacBook."
1053,🖥️,️ Desktop Computer,"U+1F5A5, U+FE0F","A desktop personal computer. Generally depicted as a black or gray monitor with a dark or blue screen.Like💻 Laptop Computer, used for various content concerning computer technology, work, and activity. May also be used to representtelevision, as it resembles a flatscreen TV.Google and WhatsApp includekeyboards. Apple’s design resembles an iMac.MicrosoftandSamsung’sdesigns previously featured PC towers."
1054,🖨️,️ Printer,"U+1F5A8, U+FE0F","Acomputerprinter, as at a home office. Generally depicted as a grayish device with a power button and paper loaded in its tray, sometimes printing out a document. May be used for various content concerning printing, including as a Print icon,as well as for office work and technology more generally.Not to be confused with📠 Fax Machine."
1055,⌨️,️ Keyboard,"U+2328, U+FE0F","A keyboard, as used to type on acomputer. Generally depicted as a gray device with white or black keys. Used for various content concerning computers, typing, and writing.Apple’s design resembles the company’sMagic Keyboard. Microsoft's design is blue.Not to be confused with🎹 Musical Keyboard."
1056,🖱️,️ Computer Mouse,"U+1F5B1, U+FE0F","A mouse, as used to control a cursor on acomputer. Generally depicted as a white or gray, cordless device with a scroll wheel between left- and right-click buttons.Used for various content concerning computers, including gaming and various senses ofclick(e.g.,clickbait).Apple’s design resembles the company’sMagic Mouse, with a single button. Google’s mouse has a cord.Not to be confused with🐁 Mouse."
1057,🖲️,️ Trackball,"U+1F5B2, U+FE0F","A trackball, as rotated to control a cursor on a computer. An alternative or supplement to acomputer mouseor touchpad. Generally depicted as a cordless device with a blue or red ball in a cylindrical, black or gray socket.Occasionally used for various content concerninggaming. Google’s design features a cord, Facebook’s a rectangular base."
1058,💽,Computer Disk,U+1F4BD,"Aminidisc, depicted as a small, silver or goldoptical dischoused in a square cartridge, its shutter positioned to the right.Discontinuedas an audio and data storage format in 2013 due to the success of CD and MP3 technology, though the emoji is commonly used to represent CDs, DVDs, and related film and music content, especially albums.Samsung’s designpreviously featureda silver disc labeledMD, forminidisc.Early designsfrom au by KDDI showed an angled💾 Floppy Disk, perhaps as being inserted or ejected into a computer drive.See also💿 Optical Discand📀 DVD."
1059,💾,Floppy Disk,U+1F4BE,"A3.5-inch floppy disk, a data storage format popular in the 1980–90s but largely preserved as aSaveicon in computer programs. Shown with its silver shutter positioned up and in a black housing witha white label, accented with blue or red.Occasionally used for various content concerning computers, including nostalgia for old technology, as well as to represent electronic saving."
1060,💿,Optical Disk,U+1F4BF,"A silveroptical disc, as a CD orDVD, used to play music or movies before the rise of streaming technology. Commonly used to represent CDs, DVDs, Blu-rays, and related film and music content, especially albums.See also💽 Computer Diskand📀 DVD."
1061,📀,DVD,U+1F4C0,"Adigital versatile disc(DVD), a type ofoptical discused to play movies before the rise of streaming technology. Generally depicted in gold, though Facebook’s is bluish gray, as a Blu-ray.Commonly used to represent CDs, DVDs, Blu-rays, and related film and music content, especially albums.Google,Microsoft,Samsung, andSoftbank’sdesigns were once labelledDVD, as todistinguishit from💿 Optical Disk.See also💿 Optical Discand💽 Computer Disk."
1062,🧮,Abacus,U+1F9EE,"Anabacus, an ancient tool used to count and calculate by moving beads. Depicted as a wooden frame with four or more rows or columns of variously positioned and colored beads.Used for various content concerning mathematics and science (education) as well as calculations,counting, and numbers more generally.Designs from Apple, Microsoft, and Facebook resemble a Chinese abacus (suanpan). By one reckoning, Apple’s red-beadeddesign displays the number 108 and Emojipedia's, 12,031,981."
1063,🎥,Movie Camera,U+1F3A5,"A classic movie camera. Depicted as a black camera with two mounted reels offilm, viewfinder, and lens pointed left or right.Commonly used for various content concerning movies, film, and video as well as an icon for a video, as before an upload, link, or credit. May also be used in relation to the 2017Emoji Movie.Facebook’s designpreviously resembledavideo cameramounted on a tripod.Not to be confused with📽️ Film Projector."
1064,🎞️,️ Film Frames,"U+1F39E, U+FE0F","A strip of film, as used in amovie cameraorphotography. Generally depicted as severalhorizontal frames of unexposed film with black trim andperforations.Commonly used for various content concerning movies, film, video, and photography as well as an icon for a video or picture, as before an upload, link, or credit.Apple’s design features an S-shaped, sepia-tinged strip."
1065,📽️,️ Film Projector,"U+1F4FD, U+FE0F","A classic film projector, as projectsfilmonto a screen for viewing. Generally depicted as a black or gray projector with two mounted reels and lens pointed right.Commonly used for various content concerning movies, film, and video as well as an icon for a video, as before an upload, link, or credit.Google’s design is blue, WhatsApp’s is green.Not to be confused with🎥 Movie Camera."
1066,📺,Television,U+1F4FA,"A classic television set, as people watched before streaming on flatscreens.Depicted in various colors and styles with a screen, knobs, and, on many platforms, rabbit-ear antennae.Commonly used for television broadcasting as well as various content involving screens, from watchingmoviesto playingvideo games.Google’s design features a more modern-looking orange TV; Microsoft’sprevious designwas a flatscreen."
1067,📷,Camera,U+1F4F7,"A classic camera, as anSLRused to take pictures beforecamera phones. Generally depicted with a black and silver casing with lens and operating controls.Commonly used for various content concerning photography as well as an icon for a picture, as before an upload, link, or credit.See also📸 Camera With Flash."
1068,📸,Camera with Flash,U+1F4F8,"A classic camera, shown with its flash going off, as to illuminate a darker scene. Vendors implement the same design as📷 Camerawith a burst of light, oftenresembling💥 Collision.Commonly used for various content concerning photography as well as an icon for a picture, as before an upload, link, or credit."
1069,📹,Video Camera,U+1F4F9,"A video camera, as acamcorderused to film home videos in the 1980–90s. Generally depicted as a gray or black video camera with viewfinder, control buttons, and lens pointedleft.Commonly used for various content concerning film and video as well as an icon for a video, as before an upload, link, or credit.Google’s design is blue andpreviously featureda flip screen. Samsung’s is fitted with amicrophone."
1070,📼,Videocassette,U+1F4FC,"A videotape cassette, as aVHStape used to watch movies or recordTVon VCRs beforeDVDs, DVRs, and streaming. Generally depicted as a black cassette with a white label between its reels.Occasionally used for various content concerning film and video (taping) as well as an icon for a video, as before an upload, link, or credit. May also be used to represent audiocassette tapes.Microsoft’s designpreviously resembleda voicemail icon."
1071,🔍,Magnifying Glass Tilted Left,U+1F50D,"A classic magnifying glass, as used to view small objects, with its lens pointed left.Generally depicted at a 45° angle with a black handle and a clear or blue, silver-framed lens titled to the upper left.Associated withdetectivesand search or zoom icons on computers.Like🔎 Magnifying Glass Titled Right, commonly used for various senses of searching, looking, inspecting, etc."
